GiftRegistryFlag,LoyaltyMember,NPSSegments,nps,ShipDays,TransitDays,DaysToArrive,Backorder,NumOfPackages,DeliverySelection,DeliveryFee,units,retail,APPAREL,BEAUTY,HANDBAGS AND ACCESSORIES,home,JEWELRY,shoes,Carrier,OnTime,LateReason,Accurate,InaccurateReason,GoodCondition,BadConditionReason,EmailClear,PricesClear,PromotionsValid,RewardsGood,ValueItemGood,ReturnEasy,DeliveryFast,AgentAvailable,AgentEffective,ContactedCsAgent,NumCSContacts,LevelOfEffort,PromotersMostImportant,NotRecommendReason,TellFriends,AdditionalFeedback,DidNotFind
No,No,Promoter,10,0,2,2,N,1,Standard,19.9,2,67.98,Y,,,,,,FedEx,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,10,10,Yes by phone,Issue still unresolved,Low effort,Customer Support,NULL,I told with my friend and my family i like Companys very much .everything at Companys is good,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,29.85,3,30.96,Y,,,,,,FedEx,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,Very fast and order was complete!,"I did order an ornament and the box was flimpsy and it fell apart in the delivery.  However, thankfully the ornament was tightly packaged in bubble wrap and did not break.  I will just have to repackage in another box when I wrap the gift!",NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,7,179.98,Y,Y,,,,,FedEx,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,7,9,10,9,8,NULL,NULL,No,NULL,NULL,Price & Value,NULL,I'm never disappointed. Returns are easy if necessary.,NULL,NULL
No,No,Promoter,9,0,2,2,N,1,Standard,0,1,157.24,Y,,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,8,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,"It's very easy to shop on the website. The zoom feature was helpful when choosing out a product. However I would have like to have more pictures to look at for each product (angles, features, details, etc)",NULL,NULL
No,Yes,Promoter,9,0,2,2,N,1,Standard,29.85,3,21.57,Y,,,,,,Smart Post,Later than expected,None of the above,Yes,NULL,Yes,NULL,Yes,10,10,9,10,10,8,10,10,Yes by phone,1 time,Very low effort,Product Selection & Availability,NULL,NULL,NULL,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,9.95,1,39.99,Y,,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,99,99,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,Website very friendly and easy to navigate.,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,1,54,,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,7,3,7,5,8,7,NULL,NULL,No,NULL,NULL,Customer Support,NULL,NULL,Availability of products is slim; especially size,Size & color
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,3,101.38,Y,,,,,,FedEx,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Cannot Answer,10,10,99,10,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,"The clothes are beautiful, the shipping was extremely prompt, and the prices (after waiting for the right sale) were reasonable. Thank you and happy holidays!",Great job!,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,9.95,1,39.98,Y,,,,,,FedEx,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Detractor,6,0,2,2,N,1,Standard,0,2,190.99,Y,,,,,,FedEx,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,8,3,10,10,10,9,4,Yes by phone,2 or more times,High effort,NULL,Customer Support,No credit cards work on Company's.com. It is very annoying. I would shop more online if the credit cards processed properly. I also never received Plenti points and was hassled when i asked for them. Very unfortunate.,NULL,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,0,1,175.53,,,,,,Y,FedEx,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,99,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,My order was shipped and at my door in about 3 days,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,9.95,1,15.95,,,,,,,FedEx,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,10,10,Yes by phone,1 time,Very low effort,Customer Support,NULL,"the perservance of the indivigual in looking for the product I wanted coupled with her patience , attitude & determination alluded to   professionalism .",a delightful experience !,NULL
No,Yes,Passive,8,0,2,2,N,1,Standard,0,3,105.98,Y,,Y,,,,FedEx,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,99,99,9,8,8,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,0,2,78.99,,,,,,Y,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,99,10,9,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"I like the great prices, variety of products and fast shipping.",NULL,NULL
No,No,Passive,8,0,2,2,N,1,Standard,19.9,2,47.98,Y,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,3,5,7,99,7,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,Easy site to work and navigate. Suggestions for gifts were nice.,"The site was better than many. BIGGEST draw back was not being able to view items better. ie: rotate them, view front & back, zoom better, open up wallets etc that interested in purchasing.",NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,3,122.38,,,,,,Y,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,1,99,10,99,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,It was easy!,NULL,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,9.95,1,55.99,Y,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,5,113.55,Y,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,8,9,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,"Love their site, it is so easy to use",NULL,NULL
No,Yes,Promoter,9,0,2,2,N,1,Standard,0,2,271.25,,,Y,,,,Smart Post,Later than expected,None of the above,Yes,NULL,Yes,NULL,Yes,10,5,7,5,10,3,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,1,84.99,,,,,,Y,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,10,10,Yes by phone,1 time,Very low effort,Price & Value,NULL,"Easy to navigate, easy to find categories and narrow them down to your specific search. Easy payment and shipping options, items arrive on time at the address given for shipping.   Not so good: sometimes it is very difficult to get back to the place where you were before you selected an item to view; you go back to the top of the page vs. back to where you left off. (This may be user error)",I loved the experience. The customer service person was really outstanding.,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,0,2,10.48,,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,0,99,10,10,10,10,10,Yes by phone,1 time,Very low effort,Customer Support,NULL,I love Company's and there's always a sale on items that are pricey.  The customer service is very helpful and seek ways to give you even a better discount.,My overall experience with Company's was very pleasant.,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,9.95,1,79.99,Y,,,,,,FedEx,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Merchandise very easy to order and received package really quick. Great online prices.,NULL,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,9.95,1,10.39,Y,,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,7,4,6,7,99,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,timely and quality,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,2,105.59,Y,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,Affliction shirts seemed to be limited in sizes
No,Yes,Passive,8,0,2,2,N,1,Standard,0,1,111.99,Y,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,10,7,8,9,9,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,I was disappointed that my first choice in color was not available; however I am pleased with what I got,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,1,42,,,,,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,10,99,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,Quick and easy.,Great experience. Thank you.,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,9.95,1,34.99,,,,Y,,,Smart Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,10,10,5,10,10,10,Yes by phone,1 time,Moderate effort,Website Shopping Experience,NULL,I like. the things I brought from you... !!!!!!!!!!!!!!!!!!!!!! Thank You !!!!!!!!!!!!!!!!!!!!,NULL,NULL
No,No,Detractor,0,1,2,3,N,1,Standard,0,1,165,,,Y,,,,FedEx,Earlier than expected,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,5,4,5,8,0,0,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,I had a bad experience here. I've made a purchase and as the order got at the hotel before my check in it was sent back and the order cancelled.,NULL,NULL
No,Yes,Promoter,10,1,2,3,N,1,Standard,0,4,85.95,Y,,Y,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,"I had to return one item, a handbag that I was unsure about even when I ordered it, but it couldn't have been easier to return it. I just went up to the first sales associate I saw at the store and she had it done in a couple of minutes. The items arrived well-packaged and I think the order arrived almost before the email shipping notification. Thank you!",NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,9.95,1,34.84,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,9,9,10,10,5,10,Yes by chat,2 or more times,Very low effort,Product Delivery,NULL,"Great sales rep. The cashier are willing to help you save money by looking gift coupon deals .,",NULL,NULL
No,Yes,Passive,7,0,2,2,N,2,Standard,0,4,151.96,Y,,,,,,USPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,5,3,3,8,7,8,NULL,NULL,No,NULL,NULL,NULL,Customer Support,Selection good.   Short on help always,NULL,Dress 14
No,Yes,Promoter,10,0,2,2,N,1,Standard,9.95,2,71.98,,,,Y,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Very easy to shop on line with Company. Love it,I just love shopping at Company's,NULL
No,No,Promoter,10,1,2,3,N,1,Standard,0,1,194,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,99,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Easy ordering and free returns.  Very prompt on shipping and returns,The dress was exactly like the one on the website.  I needed a larger size and it came super speedy.  Thank you!,NULL
No,Yes,Promoter,9,3,3,6,N,1,Standard,0,1,35.99,,,,Y,,,UPS,Later than expected,None of the above,Yes,NULL,Yes,NULL,Yes,8,8,8,8,8,8,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"Easy to shop online, no issues","After the blanket arrived, I tried to purchase another one (the day after the sale ended)  I contacted Company's via facebook and sent a message and have never heard back.  I just wanted to know if I could get another one for the same price, I wanted to make sure it was what we wanted before I got  a 2nd one.  We love the blanket but since  no one wants to respond to me about honoring the price or not, I doubt I'll now order another or order anything else online.  It's poor customer service not to respond",NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,0,1,118.39,,,Y,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Great price.  Fast delivery.,NULL,NULL
No,Yes,Promoter,10,1,3,4,N,2,Standard,0,2,100.98,Y,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,No,Promoter,10,1,3,4,N,1,Standard,9.95,1,23.99,Y,,,,,,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,4,99,10,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,It was shipped and received in a very short period of time.,NULL,NULL
No,Yes,Detractor,0,0,3,3,N,4,Standard,0,12,390.63,,Y,,Y,Y,,USPS,Later than expected,Delayed for credit verification / security purposes,No,None of the above,No,None of the above,No,10,10,10,10,10,0,0,0,Yes by phone,1 time,Very low effort,NULL,Product Delivery,NULL,Still missing pearl necklace!,NULL
No,No,Promoter,10,3,3,6,N,1,Standard,0,1,109.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Ordering was very simple.,NULL,NULL
No,Yes,Passive,8,1,3,4,N,1,Standard,9.95,1,31.49,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,6,2,6,9,10,NULL,NULL,No,NULL,NULL,NULL,Customer Support,You can get good prices,NULL,NULL
No,Yes,Passive,8,0,3,3,N,2,Standard,0,3,215.18,,,,Y,,Y,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,8,7,7,9,9,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,Coupon worked-free shipping,NULL,Nike soft running shoes
No,Yes,Promoter,10,2,3,5,N,1,Standard,0,2,178.48,Y,,,,,Y,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,8,10,10,10,10,10,Yes by phone,1 time,Very low effort,Customer Support,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,3,3,N,1,Standard,0,1,134.99,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,10,99,10,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,"simple, save time",I actually found more selection on the site than in the store,NULL
No,Yes,Promoter,10,1,3,4,N,1,Express (1 Day),0,5,53.77,Y,,,,,,UPS,When expected,NULL,Yes,NULL,No,Not working properly / manufacturer's defect,Yes,10,2,10,10,10,10,NULL,0,Yes by email,2 or more times,Moderate effort,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,3,4,N,1,Standard,19.9,2,15.98,Y,,,,,,FedEx,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,No,Promoter,10,0,3,3,N,1,Standard,19.9,2,41.49,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Lots of choices at good prices.,NULL,NULL
No,Yes,Passive,7,1,3,4,N,2,Premium (2 Day),0,6,697.46,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,6,7,7,99,9,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,Very good delivery.  Some dresses were not sized properly,NULL,NULL
No,Yes,Promoter,9,1,3,4,N,2,Standard,0,6,133.83,Y,,Y,,,Y,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,1,9,8,9,9,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,1,3,4,N,1,Standard,0,1,149.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,9,0,8,9,10,NULL,7,Yes by email,1 time,Low effort,Product Delivery,NULL,"I have always enjoyed shopping at Company's but don't always have the opportunity to travel to Daytona at the Volusia Mall. What I don't like about Company's is that my account was closed due to inactivity!  This has happened twice!!!!  So when I was interested in purchasing a coat, I could not even use my card cause my account was closed; without even informing me. I don't think this is fair and I was very upset. If you are going to close my account due to inactivity, then I should be informed BEFORE you close the account.",NULL,NULL
No,Yes,Promoter,10,3,3,6,N,1,Standard,0,2,27.98,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,Shopping online at Company's is very good,I love shopping at Company's even at the store,NULL
No,Yes,Promoter,10,1,3,4,N,1,Standard,9.95,1,29.99,,,,Y,,,UPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,9,2,8,6,10,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,Simple Human Size P trash liners
No,Yes,Promoter,10,3,3,6,N,1,Standard,0,1,299.99,,,,Y,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,3,3,6,N,1,Standard,0,1,29.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Detractor,5,3,3,6,N,1,Standard,0,3,32.97,Y,,,,,,UPS,Later than expected,"Issue with original, had to wait for replacement",Yes,NULL,Yes,NULL,Yes,6,6,5,9,9,4,10,9,Yes by phone,1 time,Low effort,NULL,Website Shopping Experience,I like their product very much but its very hard to shop online sometimes . Their website is horrible . Its just shut down by itself,NULL,NULL
No,Yes,Passive,8,3,3,6,N,1,Standard,0,5,156.71,Y,,Y,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,8,4,5,7,8,8,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL
No,Yes,Detractor,4,2,3,5,N,1,Standard,0,1,149.99,Y,,,,,,UPS,Later than expected,None of the above,Yes,NULL,Yes,NULL,Yes,6,7,8,8,9,9,NULL,NULL,No,NULL,NULL,NULL,Customer Support,NULL,NULL,NULL
No,No,Passive,8,1,1,2,N,2,Standard,0,3,203.48,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,No,7,5,5,6,7,7,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,1,111.99,,,,,,Y,Smart Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,5,10,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Easy and fast shipping,NULL,NULL
No,No,Promoter,9,0,1,1,N,1,Standard,0,1,35.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,99,9,99,9,9,9,Yes by phone,1 time,High effort,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,2,183.75,Y,Y,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,9,NULL,NULL,9,9,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,1,1,2,N,1,Standard,0,1,69.99,,,,Y,,,UPS,When expected,NULL,No,None of the above,Yes,NULL,Yes,9,9,9,9,10,9,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,Convenience and free shipping  made it a wise choice and the fact that the product wasn't available in store made it doable.,There was a duplicate shipment which I was able to return to my local Company's for a refund.,NULL
No,No,Detractor,1,0,1,1,N,2,Standard,0,2,48.98,Y,,,,,,UPS,Earlier than expected,NULL,No,Received item matched invoice but not ordered,Yes,NULL,Yes,10,99,99,10,10,0,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,I ordered a size 8 boys coat and got a size 5,NULL,NULL
No,No,Passive,8,0,1,1,N,1,Standard,0,1,109.99,Y,,,,,,UPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,10,0,0,2,99,99,NULL,NULL,No,NULL,NULL,NULL,Price & Value,"I liked that shopping was easy, I didn't like that every item in my cart was not eligible for the 20% cyber Monday coupon.  Because of this, I omitted about 5 items from my cart.",I would like to note that I thought the Cyber Monday coupon was deceiving. Every item I planned to purchase was not eligible for the discount.,NULL
No,Yes,Promoter,9,1,1,2,N,1,Standard,0,1,199.1,,,,,Y,,UPS,Earlier than expected,NULL,Yes,NULL,No,Merchandise quality not what expected,Yes,10,10,8,10,10,9,NULL,NULL,No,NULL,NULL,Customer Support,NULL,NULL,NULL,Hand bag
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,8,187.92,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,5,9,9,9,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
Yes,No,Passive,7,3,1,4,N,1,Standard,0,6,269.94,,,,Y,,,UPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,10,NULL,NULL,99,NULL,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,Shopping was easy however you are not notified of a delivery confirmation when a gift was sent,Promo codes were needed to get the sale price.  You had to leave the registry site and go to the store site to get them.  I feel if you are using a registry the codes  should be supplied or automatically added to your order. b,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,1,44.99,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Detractor,6,1,1,2,N,1,Standard,0,1,37.99,,,,,,Y,Sure Post,Later than expected,Timeframe unclear at checkout,Yes,NULL,No,"Item was wrinkled, used or worn looking",No,8,5,7,5,9,5,NULL,4,Yes by email,2 or more times,Moderate effort,NULL,Product Delivery,Easy love all but will NEVER DO express ship ever again!!! Comes a 3 days and very wrinkled !!! Not wearable ?,Things come at various times and first experience with 20$ express shipping AWFUL!! Late very very wrinkled couldn't wear!,NULL
No,No,Promoter,10,1,1,2,N,1,Standard,0,1,39.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,10,10,10,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,Easy to shop online and delivery arrives quickly with accurate order. Only negative is I am unable to use my Company's credit card as it does not have an expiration date.,It is very easy to shop online with Company's.,NULL
No,No,Promoter,10,1,1,2,N,1,Standard,0,1,995,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,10,NULL,NULL,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,3,111.97,,,,Y,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,99,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,"Shopping at Companys.com saved me so much time!  And my order was delivered quickly!  If I know exactly what I want to buy and am finding it difficult to actually go to a Company's store, I would not hesitate to order on line.",NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,1,154.87,,,Y,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,9,7,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,1,33.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,9,9,10,9,10,10,Yes by phone,1 time,Low effort,Customer Support,NULL,the sales representatives were very friendly and helpful,the customer service experience was very good.,NULL
No,Yes,Promoter,9,1,1,2,N,1,Standard,0,2,33.58,,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,5,3,6,5,9,9,10,10,Yes by phone,1 time,Low effort,Customer Support,NULL,NULL,NULL,NULL
No,No,Detractor,0,1,1,2,N,1,Standard,0,1,39.98,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,No,8,99,99,99,99,9,8,8,Yes by phone,2 or more times,High effort,NULL,Product Selection & Availability,"I placed an order it said it was going to be delivered when I called you after the delivery date to let you know it had not been delivered you told me it was not available.  I had been looking for the package for 2 days.  You had not refunded my money or sent me an email or anything.  I shouldn't have had to call you at all.  Also when I placed the order it was available but the next day when you went to ship it, it wasn't  I caused me too much stress.",Like I said I will never place another order.  Your system should have had the shoes available then when I called they said it had been shipped out and it hadn't then the tracking said a delivery date which was not correct because it was never shipped.  If this had not been picked out by my son as his christmas present I would not have ordered it again in another size.,NULL
No,No,Passive,8,16,1,17,Y,3,Standard,0,2,107.98,,,,Y,,,UPS,Later than expected,Items on backorder,Yes,NULL,Yes,NULL,Yes,10,99,99,99,99,6,NULL,NULL,No,NULL,NULL,NULL,Website Shopping Experience,NULL,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,3,Standard,0,4,103.72,Y,,,,,Y,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,I love Company's,NULL
No,Yes,Promoter,9,1,1,2,N,1,Standard,0,1,29.99,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,8,8,8,8,9,9,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,Shopping at Companys.com allows me to conveniently find size and availabilty,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Premium (2 Day),0,1,337.5,,,,,,Y,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,8,NULL,NULL,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,1,224.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,10,10,10,10,10,10,Yes by phone,1 time,Very low effort,Customer Support,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,4,85.56,Y,,Y,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,9,9,99,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,2,1,3,N,1,Standard,0,1,82.49,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,8,NULL,NULL,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,The customer service is excellent and your return policy is great.,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,2,89.99,Y,,,,,Y,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,9,9,9,9,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,No,Passive,8,1,1,2,N,1,Standard,0,3,127.47,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,99,99,10,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,Very quick and efficient to place online order; quick delivery too.,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,1,96.99,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,8,99,9,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Company's has good sale prices on there product sometimes,none,NULL
